nome,partido,votos,votos_validos,total_votos,turno,ano,id_poder_360,local_que_concorreu
Gladson Cameli,PP,223993,443429,443429,1,2018,4820,ac
Gladson Cameli,PROGRESSISTAS,242100,455438,455438,1,2022,4820,ac
Marcus Alexandre,PT,144071,443429,443429,1,2018,3578,ac
Coronel Ulysses,PSL,45032,443429,443429,1,2018,4821,ac
David Hall,AVANTE,1215,443429,443429,1,2018,4825,ac
David Hall,AGIR,771,455438,455438,1,2022,4825,ac
Renan Filho,MDB,1001053,1692875,1692875,1,2018,1391,al
Josan Leite,PSL,143208,1692875,1692875,1,2018,4818,al
Cirilo Fernandes,PSL,45197,426382,426382,1,2018,5314,ap
Wilson Lima,PSC,596585,1957418,1957418,1,2018,1696,am
Wilson Lima,PSC,1033954,1767368,1907930,2,2018,1696,am
Wilson Lima,UNIÃO BRASIL,819784,2110875,2110875,1,2022,1696,am
Amazonino Mendes,PDT,579016,1957418,1957418,1,2018,86,am
Amazonino Mendes,PDT,733414,1767368,1907930,2,2018,86,am
Amazonino Mendes,CIDADANIA,355377,2110875,2110875,1,2022,86,am
David Almeida,PSB,417203,1957418,1957418,1,2018,4837,am
Omar Aziz,PSD,142804,1957418,1957418,1,2018,1222,am
Rui Costa,PT,5096062,8235310,8235310,1,2018,1507,ba
Zé Ronaldo,DEM,1502266,8235310,8235310,1,2018,6118,ba
Marcos Mendes,PSOL,44702,8235310,8235310,1,2018,1043,ba
Célia Sacramento,REDE,31198,8235310,8235310,1,2018,2291,ba
Orlando Andrade,PCO,3100,8235310,8235310,1,2018,5363,ba
Camilo,PT,3457556,5243490,5243490,1,2018,5423,ce
Ailton Lopes,PSOL,90611,5243490,5243490,1,2018,34,ce
Gonzaga,PSTU,5060,5243490,5243490,1,2018,2849,ce
Renato Casagrande,PSB,1072224,2223207,2223207,1,2018,1394,es
Renato Casagrande,PSB,976652,2311629,2311629,1,2022,1394,es
Professor Aridelmo Teixeira,PTB,62821,2223207,2223207,1,2018,5272,es
Ronaldo Caiado,DEM,1773185,3553706,3553706,1,2018,1477,go
Ronaldo Caiado,UNIÃO BRASIL,1806892,3807191,3807191,1,2022,1477,go
Daniel Vilela,MDB,479180,3553706,3553706,1,2018,347,go
Flávio Dino,PC do B,1867396,3604582,3604582,1,2018,523,ma
Roseana Sarney,MDB,947191,3604582,3604582,1,2018,1492,ma
Maura Jorge,PSL,247988,3604582,3604582,1,2018,4889,ma
Roberto Rocha,PSDB,64446,3604582,3604582,1,2018,1441,ma
Ramon Zapata,PSTU,11410,3604582,3604582,1,2018,1375,ma
Mauro Mendes,DEM,840094,1757368,1757368,1,2018,1103,mt
Mauro Mendes,UNIÃO BRASIL,1114549,1889012,1889012,1,2022,1103,mt
Wellington Fagundes,PR,280055,1757368,1757368,1,2018,1692,mt
Pedro Taques,PSDB,271952,1757368,1757368,1,2018,1303,mt
Moisés Franz,PSOL,14724,1757368,1757368,1,2018,5387,mt
Moisés Franz,PSOL,12948,1889012,1889012,1,2022,5387,mt
Reinaldo Azambuja,PSDB,576993,1478642,1478642,1,2018,1387,ms
Reinaldo Azambuja,PSDB,677310,1293732,1449374,2,2018,1387,ms
Juiz Odilon,PDT,408969,1478642,1478642,1,2018,5402,ms
Juiz Odilon,PDT,616422,1293732,1449374,2,2018,5402,ms
Humberto Amaducci,PT,132638,1478642,1478642,1,2018,662,ms
Marcelo Bluma,PV,16544,1478642,1478642,1,2018,3502,ms
Romeu Zema,NOVO,4138967,12211254,12211254,1,2018,1472,mg
Romeu Zema,NOVO,6963806,9698258,12064283,2,2018,1472,mg
Antonio Anastasia,PSDB,2814704,12211254,12211254,1,2018,112,mg
Antonio Anastasia,PSDB,2734452,9698258,12064283,2,2018,112,mg
Fernando Pimentel,PT,2239979,12211254,12211254,1,2018,514,mg
Adalclever Lopes,MDB,268683,12211254,12211254,1,2018,4924,mg
Dirlene Marques,PSOL,133986,12211254,12211254,1,2018,4995,mg
Paulo Rocha,PT,652923,4400611,4400611,1,2018,1286,pa
Fernando Carneiro,PSOL,170751,4400611,4400611,1,2018,503,pa
Cleber Rabelo,PSTU,22414,4400611,4400611,1,2018,2229,pa
Cleber Rabelo,PSTU,5053,4785272,4785272,1,2022,2229,pa
João,PSB,1119758,2435477,2435477,1,2018,3192,pb
João,PSB,863174,2551876,2551876,1,2022,3192,pb
Lucélio Cartaxo,PV,450525,2435477,2435477,1,2018,943,pb
Tárcio Teixeira,PSOL,15522,2435477,2435477,1,2018,1637,pb
Rama Dantas,PSTU,3146,2435477,2435477,1,2018,1374,pb
Cida Borghetti,PP,831361,6616901,6616901,1,2018,2205,pr
João Arruda,MDB,705976,6616901,6616901,1,2018,5219,pr
Dr. Rosinha,PT,463494,6616901,6616901,1,2018,2433,pr
Ogier Buchi,PSL,0,6616901,6616901,1,2018,1218,pr
Paulo Câmara,PSB,1918219,5391639,5391639,1,2018,1270,pe
Armando Monteiro,PTB,1361588,5391639,5391639,1,2018,4930,pe
Maurício Rands,PROS,129712,5391639,5391639,1,2018,3667,pe
Simone Fontana,PSTU,9067,5391639,5391639,1,2018,1561,pe
Wellington Dias,PT,966469,1997587,1997587,1,2018,1691,pi
Fábio Sérvio,PSL,63431,1997587,1997587,1,2018,4779,pi
Luciane Santos,PSTU,2960,1997587,1997587,1,2018,3378,pi
Lourdes Melo,PCO,777,1997587,1997587,1,2018,927,pi
Lourdes Melo,PCO,1924,2114006,2114006,1,2022,927,pi
Eduardo Paes,DEM,1494831,9474441,9474441,1,2018,432,rj
Eduardo Paes,DEM,3134400,7809755,9416708,2,2018,432,rj
Tarcísio Motta,PSOL,819248,9474441,9474441,1,2018,1605,rj
Romário,PODE,664511,9474441,9474441,1,2018,1474,rj
Pedro Fernandes,PDT,466954,9474441,9474441,1,2018,4001,rj
Dayse Oliveira,PSTU,17499,9474441,9474441,1,2018,354,rj
Garotinho,PRP,0,9474441,9474441,1,2018,111,rj
Carlos Eduardo,PDT,525933,1966450,1966450,1,2018,251,rn
Carlos Eduardo,PDT,753035,1775945,1942196,2,2018,251,rn
Robinson Faria,PSD,192037,1966450,1966450,1,2018,1445,rn
Dário Barbosa,PSTU,3379,1966450,1966450,1,2018,2466,rn
Eduardo Leite,PSDB,2143603,6835866,6835866,1,2018,2523,rs
Eduardo Leite,PSDB,3128317,5833918,6774869,2,2018,2523,rs
Eduardo Leite,PSDB,1702815,6883341,6883341,1,2022,2523,rs
José Ivo Sartori,MDB,1857335,6835866,6835866,1,2018,801,rs
José Ivo Sartori,MDB,2705601,5833918,6774869,2,2018,801,rs
Miguel Rossetto,PT,1060209,6835866,6835866,1,2018,1124,rs
Jairo Jorge,PDT,661717,6835866,6835866,1,2018,3031,rs
Mateus Bandeira,NOVO,200877,6835866,6835866,1,2018,4994,rs
Roberto Robaina,PSOL,37993,6835866,6835866,1,2018,1440,rs
Julio Flores,PSTU,8917,6835866,6835866,1,2018,885,rs
Expedito Junior,PSDB,241885,912914,912914,1,2018,492,ro
Expedito Junior,PSDB,269032,799220,881834,2,2018,492,ro
Vinicius Miguel,REDE,110585,912914,912914,1,2018,5758,ro
Acir Gurgacz,PDT,0,912914,912914,1,2018,11,ro
Suely Campos,PP,29888,286754,286754,1,2018,1574,rr
Telmário Mota,PTB,9495,286754,286754,1,2018,1610,rr
Mauro Mariani,MDB,836844,4241667,4241667,1,2018,1102,sc
Mauro Mariani,MDB,836844,4241667,4241667,1,2018,4950,sc
Décio Lima,PT,460889,4241667,4241667,1,2018,394,sc
Décio Lima,PT,710859,4471619,4471619,1,2022,394,sc
João Doria,PSDB,6431555,25921320,25921320,1,2018,855,sp
João Doria,PSDB,10990350,21239090,25837462,2,2018,855,sp
Paulo Skaf,MDB,4269865,25921320,25921320,1,2018,1290,sp
Luiz Marinho,PT,2563922,25921320,25921320,1,2018,962,sp
Rodrigo Tavares,PRTB,649729,25921320,25921320,1,2018,4802,sp
Toninho Ferreira,PSTU,16202,25921320,25921320,1,2018,4558,sp
Valadares Filho,PSB,212169,1279582,1279582,1,2018,4589,se
Valadares Filho,PSB,370161,1049212,1264065,2,2018,4589,se
Eduardo Amorim,PSDB,202349,1279582,1279582,1,2018,422,se
Dr. Emerson,REDE,69407,1279582,1279582,1,2018,2398,se
Milton Andrade,PMN,35111,1279582,1279582,1,2018,4961,se
Márcio Souza,PSOL,15588,1279582,1279582,1,2018,3744,se
Mendonça Prado,DEM,12280,1279582,1279582,1,2018,4960,se
Gilvani Santos,PSTU,4803,1279582,1279582,1,2018,5257,se
Mauro Carlesse,PHS,404484,831214,831214,1,2018,1098,to
Carlos Amastha,PSB,219842,831214,831214,1,2018,247,to
Ibaneis,MDB,634008,1691392,1691392,1,2018,4864,df
Ibaneis,MDB,1042574,1493903,1687230,2,2018,4864,df
Rodrigo Rollemberg,PSB,210510,1691392,1691392,1,2018,1459,df
Rodrigo Rollemberg,PSB,451329,1493903,1687230,2,2018,1459,df
Rogério Rosso,PSD,169785,1691392,1691392,1,2018,1464,df
Eliana Pedrosa,PROS,105579,1691392,1691392,1,2018,451,df
Alberto Fraga,DEM,88840,1691392,1691392,1,2018,44,df
Renan Rosa,PCO,0,1691392,1691392,1,2018,5217,df
Jorge Viana,PT,103265,455438,455438,1,2022,757,ac
Mara Rocha,MDB,47173,455438,455438,1,2022,5100,ac
Petecão,PSD,27393,455438,455438,1,2022,4029,ac
Marcio Bittar,UNIÃO BRASIL,4773,455438,455438,1,2022,3535,ac
Professor Nilson,PSOL,1125,455438,455438,1,2022,6121,ac
Paulo Dantas,MDB,708984,1802791,1802791,1,2022,6134,al
Rodrigo Cunha,UNIÃO BRASIL,407220,1802791,1802791,1,2022,4845,al
Rui Palmeira,PSD,157746,1802791,1802791,1,2022,4313,al
Bombeiro Luciano Fontes,PMB,2737,1802791,1802791,1,2022,6339,al
Luciano Almeida,PRTB,2110,1802791,1802791,1,2022,3380,al
Clécio,SOLIDARIEDADE,222168,442101,442101,1,2022,2251,ap
Jaime Nunes,PSD,176208,442101,442101,1,2022,6236,ap
Gilvam Borges,MDB,4510,442101,442101,1,2022,610,ap
Jairo Palheta,PCO,634,442101,442101,1,2022,6349,ap
Eduardo Braga,MDB,401817,2110875,2110875,1,2022,425,am
Ricardo Nicolau,SOLIDARIEDADE,217588,2110875,2110875,1,2022,5508,am
Carol Braz,PDT,87114,2110875,2110875,1,2022,5749,am
Henrique Oliveira,PODEMOS,9596,2110875,2110875,1,2022,649,am
Jerônimo,PT,4019830,8866459,8866459,1,2022,3061,ba
João Roma,PL,738311,8866459,8866459,1,2022,6053,ba
Kleber Rosa,PSOL,48239,8866459,8866459,1,2022,6117,ba
Giovani Damico,PCB,5951,8866459,8866459,1,2022,6146,ba
Marcelo Millet,PCO,826,8866459,8866459,1,2022,6301,ba
Capitão Wagner,UNIÃO BRASIL,1649213,5623450,5623450,1,2022,2102,ce
Roberto Cláudio,PDT,734976,5623450,5623450,1,2022,4205,ce
Chico Malta,PCB,3015,5623450,5623450,1,2022,6292,ce
Serley Leal,UNIDADE POPULAR,1881,5623450,5623450,1,2022,6203,ce
Zé Batista,PSTU,1507,5623450,5623450,1,2022,6247,ce
Guerino Zanon,PSD,146177,2311629,2311629,1,2022,623,es
Claudio Paiva,PRTB,1418,2311629,2311629,1,2022,6378,es
Gustavo Mendanha,PATRIOTAS,879031,3807191,3807191,1,2022,2874,go
Major Vitor Hugo,PL,516579,3807191,3807191,1,2022,6062,go
Wolmir Amado,PT,243561,3807191,3807191,1,2022,6066,go
Cintia Dias,PSOL,19577,3807191,3807191,1,2022,6221,go
Edigar Diniz,NOVO,9565,3807191,3807191,1,2022,6187,go
Professora Helga,PCB,6993,3807191,3807191,1,2022,6220,go
Professor Pantaleão,UNIDADE POPULAR,5400,3807191,3807191,1,2022,6218,go
Carlos Brandão,PSB,1769187,3918212,3918212,1,2022,6075,ma
Enilton Rodrigues,PSOL,7135,3918212,3918212,1,2022,6078,ma
Hertz Dias,PSTU,5191,3918212,3918212,1,2022,5583,ma
Frankle Costa,PCB,1889,3918212,3918212,1,2022,6383,ma
Eduardo Riedel,PSDB,361981,1552654,1552654,1,2022,4905,ms
André Puccinelli,MDB,247093,1552654,1552654,1,2022,104,ms
Rose Modesto,UNIÃO BRASIL,178599,1552654,1552654,1,2022,4292,ms
Marquinhos Trad,PSD,124795,1552654,1552654,1,2022,3635,ms
Adonis Marcos,PSOL,3251,1552654,1552654,1,2022,6198,ms
Carlos Viana,PL,783800,12643691,12643691,1,2022,2149,mg
Marcus Pestana,PSDB,60637,12643691,12643691,1,2022,1050,mg
Lorene Figueiredo,PSOL,44898,12643691,12643691,1,2022,6000,mg
Indira Xavier,UNIDADE POPULAR,15604,12643691,12643691,1,2022,6299,mg
Renata Regina,PCB,12514,12643691,12643691,1,2022,6171,mg
Vanessa Portugal,PSTU,12009,12643691,12643691,1,2022,1655,mg
Lourdes Francisco,PCO,2012,12643691,12643691,1,2022,6298,mg
Zequinha Marinho,PL,1201079,4785272,4785272,1,2022,1706,pa
Pedro Cunha Lima,PSDB,520155,2551876,2551876,1,2022,6250,pb
Nilvan Ferreira,PL,406604,2551876,2551876,1,2022,5681,pb
Major Fábio,PRTB,2455,2551876,2551876,1,2022,994,pb
Nascimento,PSTU,978,2551876,2551876,1,2022,3766,pb
Adriano Trajano,PCO,280,2551876,2551876,1,2022,6364,pb
Joni Correia,DC,50729,6815688,6815688,1,2022,6308,pr
Vivi Motta,PCB,13577,6815688,6815688,1,2022,6306,pr
Professor Ivan,PSTU,4502,6815688,6815688,1,2022,6307,pr
Adriano Teixeira,PCO,2096,6815688,6815688,1,2022,6309,pr
Marília Arraes,SOLIDARIEDADE,1175651,5732289,5732289,1,2022,1094,pe
Raquel Lyra,PSDB,1009556,5732289,5732289,1,2022,5451,pe
Anderson Ferreira,PL,890220,5732289,5732289,1,2022,6088,pe
Danilo Cabral,PSB,885994,5732289,5732289,1,2022,6092,pe
Miguel Coelho,UNIÃO BRASIL,884941,5732289,5732289,1,2022,6091,pe
Jones Manoel,PCB,33931,5732289,5732289,1,2022,6095,pe
João Arnaldo,PSOL,12558,5732289,5732289,1,2022,6094,pe
Pastor Wellington,PTB,8020,5732289,5732289,1,2022,6431,pe
Jadilson Bombeiro,PMB,2435,5732289,5732289,1,2022,6269,pe
Claudia Ribeiro,PSTU,1745,5732289,5732289,1,2022,5614,pe
Rafael Fonteles,PT,1115139,2114006,2114006,1,2022,6073,pi
Silvio Mendes,UNIÃO BRASIL,811806,2114006,2114006,1,2022,1555,pi
Madalena Nunes,PSOL,4759,2114006,2114006,1,2022,988,pi
Geraldo Carvalho,PSTU,1425,2114006,2114006,1,2022,577,pi
Ravenna Castro,PMN,1167,2114006,2114006,1,2022,6254,pi
Gustavo Henrique,PATRIOTAS,1027,2114006,2114006,1,2022,632,pi
Cláudio Castro,PL,4930288,9893658,9893658,1,2022,6042,rj
Marcelo Freixo,PSB,2300980,9893658,9893658,1,2022,1013,rj
Rodrigo Neves,PDT,672291,9893658,9893658,1,2022,4243,rj
Paulo Ganime,NOVO,446580,9893658,9893658,1,2022,6114,rj
Cyro Garcia,PSTU,12627,9893658,9893658,1,2022,330,rj
Eduardo Serra,PCB,10852,9893658,9893658,1,2022,434,rj
Luiz Eugênio,PCO,1844,9893658,9893658,1,2022,5278,rj
Capitão Styvenson,PODEMOS,307330,2086722,2086722,1,2022,2100,rn
Clorisa Linhares,PMB,39011,2086722,2086722,1,2022,5005,rn
Danniel Morais,PSOL,3691,2086722,2086722,1,2022,6235,rn
Rosália Fernandes,PSTU,2437,2086722,2086722,1,2022,4297,rn
Onyx Lorenzoni,PL,2382026,6883341,6883341,1,2022,1224,rs
Edegar Pretto,PT,1700374,6883341,6883341,1,2022,6050,rs
Luis Carlos Heinze,PROGRESSISTAS,271540,6883341,6883341,1,2022,4991,rs
Ricardo Jobim,NOVO,38887,6883341,6883341,1,2022,6163,rs
Vicente Bogo,PSB,17222,6883341,6883341,1,2022,6316,rs
Carlos Messalla,PCB,4003,6883341,6883341,1,2022,6317,rs
Léo Moraes,PODEMOS,119583,925763,925763,1,2022,3464,ro
Daniel Pereira,SOLIDARIEDADE,81421,925763,925763,1,2022,4793,ro
Teresa Surita,MDB,118856,304319,304319,1,2022,4510,rr
Fábio Almeida,PSOL,3843,304319,304319,1,2022,5263,rr
Juraci Escurinho,PDT,1878,304319,304319,1,2022,6397,rr
Rudson Leite,PV,1189,304319,304319,1,2022,5268,rr
Jorginho Mello,PL,1575912,4471619,4471619,1,2022,759,sc
Gean Loureiro,UNIÃO BRASIL,555615,4471619,4471619,1,2022,2776,sc
Esperidião Amin,PROGRESSISTAS,398092,4471619,4471619,1,2022,480,sc
Jorge Boeira,PDT,24809,4471619,4471619,1,2022,6097,sc
Professor Alex Alano,PSTU,4395,4471619,4471619,1,2022,6399,sc
Ralf Zimmer,PROS,3828,4471619,4471619,1,2022,6186,sc
Leandro Borges,PCO,829,4471619,4471619,1,2022,6398,sc
Tarcísio,REPUBLICANOS,9881995,27147847,27147847,1,2022,1599,sp
Fernando Haddad,PT,8337139,27147847,27147847,1,2022,508,sp
Rodrigo Garcia,PSDB,4296293,27147847,27147847,1,2022,1455,sp
Elvis Cezar,PDT,281712,27147847,27147847,1,2022,2577,sp
Carol Vigliar,UNIDADE POPULAR,88767,27147847,27147847,1,2022,6296,sp
Gabriel Colombo,PCB,46727,27147847,27147847,1,2022,6147,sp
Altino,PSTU,14859,27147847,27147847,1,2022,1890,sp
Edson Dorta,PCO,5305,27147847,27147847,1,2022,2504,sp
Rogério Carvalho,PT,338796,1362604,1362604,1,2022,4249,se
Niully Campos,PSOL,37366,1362604,1362604,1,2022,6283,se
Elinos Sabino,PSTU,646,1362604,1362604,1,2022,6259,se
Wanderlei Barbosa,REPUBLICANOS,481496,889580,889580,1,2022,4694,to
Ronaldo Dimas,PL,186361,889580,889580,1,2022,1478,to
Paulo Mourão,PT,88143,889580,889580,1,2022,1276,to
Irajá,PSD,63048,889580,889580,1,2022,6409,to
Coronel Ricardo Macedo,PMB,5043,889580,889580,1,2022,6407,to
Karol Chaves,PSOL,2494,889580,889580,1,2022,6410,to
Carmen Hannud,PCO,384,889580,889580,1,2022,6411,to
Leandro Grass,PV,434587,1807484,1807484,1,2022,6110,df
Coronel Moreno,PTB,94100,1807484,1807484,1,2022,6424,df
Izalci,PSDB,70584,1807484,1807484,1,2022,695,df
Keka Bagno,PSOL,13613,1807484,1807484,1,2022,6184,df
Lucas Salles,DC,4218,1807484,1807484,1,2022,6205,df
Robson,PSTU,841,1807484,1807484,1,2022,1447,df
Renan Arruda,PCO,373,1807484,1807484,1,2022,6327,df
